Case name,Alt name,source URL,summary,summary / issue,category,date (m),year,month as number,Meta...,The Board...,principle,outcome,note,no of user complaints (if listed),full abstract ,FB category,Controversy (relates to no. of google news stories),click-through link,ID,date
Hostages Kidnapped from Israel,Israeli Woman kidnapped by Hamas,https://www.oversightboard.com/decision/FB-M8D2SOGS/,A captioned video showing a woman being kidnapped during the 7 October Hamas-led terrorist attack was auto-removed by content systems.,"A video showing a woman, during the 7 October Hamas-led terrorist attack on Israel, begging her kidnappers not to kill her as she is taken hostage and driven away. The accompanying caption urges people to watch the video to better understand the horror that Israel woke up to on 7 October 2023. ",Violence / Incitement / Graphic Content,Dec,2023,12,first removed the post through automated systems for violating its Dangerous Organisations and Individuals Community Standard. It later subsequently made an exception to the policy line under which the content was removed and restored the content with a warning screen. ,overturned,"restoring the content to the platform, with a ""mark as disturbing"" warning screen, is consistent with Meta's content policies, values and human rights responsibilities.",post was restored,Post appears with a warning screen. But board disapproved of the associated demotion of the content barring it from recommendations.,1," The case involves an emotionally powerful video showing a woman, during the 7 October Hamas-led terrorist attack on Israel, begging her kidnappers not to kill her as she is taken hostage and driven away. The accompanying caption urges people to watch the video to better understand the horror that Israel woke up to on 7 October 2023. Meta's automated systems removed the post for violating its Dangerous Organisations and Individuals Community Standard. The user appealed the decision to the Oversight Board. After the Board identified the case for review, Meta informed the Board that the company had subsequently made an exception to the policy line under which the content was removed and restored the content with a warning screen. The Board overturns Meta's original decision and approves the decision to restore the content with a warning screen but disapproves of the associated demotion of the content barring it from recommendations. This case, together with Al-Shifa Hospital (2023-049-IG-UA), are the Board's first cases decided under its expedited review procedures.

2. Case context and Meta's response

On 7 October, 2023, Hamas, a designated Tier 1 organisation under Meta's Dangerous Organisations and Individuals Community Standard, led unprecedented terrorist attacks on Israel from Gaza that killed an estimated 1,200 people, and resulted in roughly 240 people being taken hostage (Ministry of Foreign Affairs, Government of Israel). Israel immediately undertook a military campaign in Gaza in response to the attacks. Israel's military action has killed more than 18,000 people in Gaza as of mid-December 2023 (UN Office for the Coordination of Humanitarian Affairs, drawing on data from the Ministry of Health in Gaza), in a conflict where both sides have been accused of violating international law. Both the terrorist attacks and Israel's subsequent military actions have been the subjects of intense worldwide publicity, debate, scrutiny and controversy, much of which has taken place on social media platforms, including Instagram and Facebook.

Meta immediately designated the events of 7 October a terrorist attack under its Dangerous Organisations and Individuals policy. Under its Community Standards, this means that Meta would remove any content on its platforms that ""praises, substantively supports or represents"" the 7 October attacks or their perpetrators. It would also remove any perpetrator-generated content relating to such attacks and third-party imagery depicting the moment of such attacks on visible victims.

In reaction to an exceptional surge in violent and graphic content being posted to its platforms following the terrorist attacks and military response, Meta put in place several temporary measures, including lowering the confidence thresholds for the automatic classification systems (classifiers) of its Hate Speech, Violence and Incitement, and Bullying and Harassment policies to identify and remove content. Meta informed the Board that these measures applied to content originating in Israel and Gaza across all languages. The changes to these classifiers increased the automatic removal of content where there was a lower confidence score for the content violating Meta's policies. In other words, Meta used its automated tools more aggressively to remove content that might be prohibited. Meta did this to prioritise its value of safety, with more content removed than would have occurred under the higher confidence threshold in place prior to 7 October. While this reduced the likelihood that Meta would fail to remove violating content that might otherwise evade detection or where capacity for human review was limited, it also increased the likelihood of Meta mistakenly removing non-violating content related to the conflict.

When escalation teams assessed videos as violating its Violent and Graphic Content, Violence and Incitement and Dangerous Organisations and Individuals policies, Meta relied on Media Matching Service banks to automatically remove matching videos. This approach raised the concern of over-enforcement, including people facing restrictions on or suspension of their accounts following multiple violations of Meta's content policies (sometimes referred to as ""Facebook jail""). To mitigate that concern, Meta withheld ""strikes"" that would ordinarily accompany automatic removals based on the Media Matching Service banks (as Meta announced in its newsroom post).

Meta's changes in the classifier confidence threshold and its strike policy are limited to the Israel-Gaza conflict and are intended to be temporary. As of 11 December 2023, Meta had not restored confidence thresholds to pre-7 October levels.

3. Case description

This case involves a video of the 7 October attacks depicting a woman begging her kidnappers not to kill her as she is taken hostage and driven away on a motorbike. The woman is seen sitting on the back of the vehicle, reaching out and pleading for her life. The video then shows a man, who appears to be another hostage, being marched away by captors. The faces of the hostages and those abducting them are not obscured and are identifiable. The original footage was shared broadly in the immediate aftermath of the attacks. The video posted by the user in this case, approximately one week after the attacks, integrates text within the video stating: ""Israel is under attack"", and includes the hashtag #FreeIsrael, also naming one of the hostages. In a caption accompanying the video, the user states that Israel was attacked by Hamas militants and urges people to watch the video to better understand the horror that Israel woke up to on 7 October 2023. At the time of writing, both people being abducted in the video were still being held hostage.

An instance of this video was placed in a Media Matching Service bank. Meta initially removed the post in this case for violating its Dangerous Organisations and Individuals policy, which prohibits third-party imagery depicting the moment of designated terror attacks on visible victims under any circumstances, even if shared to condemn or raise awareness of the attack. Meta did not apply a strike. The user then appealed Meta's decision to the Oversight Board.

In the immediate aftermath of the 7 October terrorist attacks, Meta enforced strictly its policy on videos showing the moment of attack on visible victims. Meta explained this was due to concerns about the dignity of the hostages as well as the use of such videos to celebrate or promote Hamas' actions. Meta added videos depicting moments of attack on 7 October, including the video shown in this case, to Media Matching Service banks so that future instances of identical content could be removed automatically.

Meta told the Board that it applied the letter of the Dangerous Organisations and Individuals policy to such content and issued consolidated guidance to reviewers. On 13 October, the company explained in its Newsroom post that it temporarily expanded the Violence and Incitement policy to remove content that clearly identified hostages when Meta is made aware of it, even if it was done to condemn the actions or raise awareness of their situation. The company affirmed to the Board that these policies applied equally to both Facebook and Instagram, although similar content has been reported to have appeared widely on the latter platform, indicating that there may have been less effective enforcement of this policy there.

The Violence and Incitement Community Standard generally allows content that depicts kidnappings and abductions in a limited number of contexts, including where the content is shared for informational, condemnation or awareness-raising purposes or by the family as a plea for help. However, according to Meta, when it designates a terrorist attack under its Dangerous Organisations and Individuals policy, and those attacks include hostage-taking of visible victims, Meta's rules on moment-of-attack content override the Violence and Incitement Community Standard. In such cases, the allowances within that policy for informational, condemning or awareness-raising sharing of moment-of-kidnapping videos do not apply and the content is removed.

However, as events developed following 7 October, Meta observed online trends indicating a change in the reasons why people were sharing videos featuring identifiable hostages at the moment of their abduction. Families of victims were sharing the videos to condemn and raise awareness, and the Israeli government and media organisations were similarly sharing the footage, including to counter emerging narratives denying the 7 October events took place or denying the severity of the atrocities.

In response to these developments, Meta implemented an exception to its Dangerous Organisations and Individuals policy, while maintaining its designation of the 7 October events. Subject to operational constraints, moment-of-kidnapping content showing identifiable hostages would be allowed with a warning screen in the context of condemning, raising awareness, news reporting or a call for release.

Meta told the Board that the rollout of this exception was staggered and did not reach all users at the same time. On or around 20 October, the company began to allow hostage-taking content from the 7 October attacks. Initially, it did so only from accounts included in the ""Early Response Secondary Review"" programme (commonly known as ""cross-check""), given concerns about operational constraints, including uncertain human review capacity. The cross-check programme provides guaranteed additional human review of content by specific entities whenever they post content that is identified as potentially violating and requiring enforcement under Meta content policies. On 16 November, Meta determined that it had capacity to expand the allowance of hostage-taking content to all accounts and did so, but only for content posted after this date. Meta has informed the Board and explained in the public newsroom update that the exception it is currently making is only limited to videos depicting the moment of kidnapping of the hostages taken in Israel on 7 October.

After the Board identified this case, Meta reversed its original decision and restored the content with a ""mark as disturbing"" warning screen. This restricted the visibility of the content to people over the age of 18 and removed it from recommendations to other Facebook users.

The Board overturns Meta's original decision to remove the content from Facebook. It finds that restoring the content to the platform, with a ""mark as disturbing"" warning screen, is consistent with Meta's content policies, values and human rights responsibilities. However, the Board also concludes that Meta's demoting of the restored content, in the form of its exclusion from the possibility of being recommended, does not accord with the company's responsibilities to respect freedom of expression.","Safety, Violence, War and Conflict / Violence and incitement",100,https://www.oversightboard.com/decision/FB-M8D2SOGS/,56,Dec 2023
Call for women's protest in Cuba,Men are inferior animals,https://oversightboard.com/decision/IG-RH16OBG3/,"A video of a woman protesting against the Cuban government for failing to defend repressed peoples was removed for ""hate speech""","A video posted by a Cuban news platform on Instagram in which a woman protests against the Cuban government, calls for other women to join her on the streets and criticises men, by comparing them to 'inferior' animals, for failing to defend those who have been repressed.",Hate Speech,Oct,2023,10,"removed a post, though it took 7 months, for violating Meta's Hate Speech policy",overturned,"the post, when taken as a whole, does not generalise and dehumanise men, but uses qualified behvaioural statements which is permitted under Meta's Hate Speech policy.",post was restored,,-,"The Oversight Board has overturned Meta's decision to remove a video posted by a Cuban news platform on Instagram in which a woman protests against the Cuban government, calls for other women to join her on the streets and criticises men, by comparing them to animals culturally perceived as inferior, for failing to defend those who have been repressed. The Board finds the speech in the video to be a qualified behavioural statement that, under Meta's Hate Speech Community Standard, should be allowed. Furthermore, in countries where there are strong restrictions on people's rights to freedom of expression and peaceful assembly, it is critical that social media protects the users' voice, especially in times of political protest.

About the case

In July 2022, a news platform, which describes itself as critical of the Cuban government, posted a video on its verified Instagram account. The video shows a woman calling on other women to join her on the streets to protest against the government. At a certain point, she describes Cuban men as ""rats"" and ""mares"" carrying urinal pots, because they cannot be counted on to defend people being repressed by the government. A caption in Spanish accompanying the video includes hashtags that refer to the ""dictatorship"" and ""regime"" in Cuba, and it calls for international attention on the situation in the country, by using #SOSCuba.

The video was shared around the first anniversary of the nationwide protests that had taken place in July 2021 when Cubans took to the streets, in massive numbers, for their rights. State repression increased in response, continuing into 2022. The timing of the post was also significant because it was shared days after a young Cuban man was killed in an incident involving the police. The woman in the video appears to reference this when she mentions that ""we cannot keep allowing the killing of our sons"". Text overlaying the video connects political change to women's protests.

The video was played more than 90,000 times and shared fewer than 1,000 times.

Seven days after it was posted, a hostile speech classifier identified the content as potentially violating and sent it for human review. While a human moderator found that the post violated Meta's Hate Speech policy, the content remained online as it went through additional rounds of human review under the cross-check system. A 7-month gap between these rounds meant that the post was removed in February 2023. On the same day in February, the user who shared the video appealed Meta's decision. Meta upheld its decision, without escalating the content to its policy or subject matter experts. A standard strike was applied to the Instagram account, but no feature limit.",Hate Speech,75,https://oversightboard.com/decision/IG-RH16OBG3/,53,Oct 2023
Hotel in Ethiopia,Burn this hotel in Ethopia,https://oversightboard.com/decision/FB-IULHG7JK/,A post calling for a hotel to be burned in Ethiopia. The hotel's address was also posted. FB did not remove the post.,"An image was posted with a caption calling for a hotel in Ethiopia owned by a general in the Ethiopian National Defence Forces to be burned down. The post included a picture of the hotel, its address, and the name of the general.",Violence / Incitement / Graphic Content,Sept,2023,9,left a post online as it didn't violate Meta's Violence and Incitement policy according to Meta's team,overturned,the content directly called for a hotel to be burned down and listed the hotel's address. The Board brought the case to Meta's attention and determined that the post did in fact violate Meta's Violence and Incitement policy.,post was removed,Summary decision.,1,"A user appealed Meta's decision to leave up a Facebook post that called for a hotel in Ethiopia's Amhara region to be burned down. This case highlights Meta's error in enforcing its policy against a call for violence in a country experiencing armed conflict and civil unrest. After the Board brought the appeal to Meta's attention, the company reversed its original decision and removed the post.

Case description and background

On 6 April 2023, a Facebook user posted an image and caption that called for a hotel in Ethiopia's Amhara region to be burned down. The user claimed that the hotel was owned by a general in the Ethiopian National Defense Force. The post also included a photograph of the hotel, its address and the name of the general.

The user posted this content during a period of heightened political tension in the Amhara region when protests had been taking place for several days against the government's plan to dissolve a regional paramilitary force.

Under Meta's Violence and Incitement policy, the company removes content that calls for high-severity violence. In their appeal to the Board, the user who reported the content stated that the post calls for violence and violates Meta's Community Standards.

Meta initially left the content on Facebook. When the Board brought this case to Meta's attention, it determined that the post violated its Violence and Incitement policy, and that its original decision to leave up the content was incorrect. The company then removed the content from Facebook.",Violence and Incitement,125,https://oversightboard.com/decision/FB-IULHG7JK/,52,Sept 2023
Lebanese Activist,Saying bad things about Hezbollah,https://oversightboard.com/decision/IG-24CW5DHI/,A Instagram post in which an activist is asked about the usefulness of the Secretary General of Hezbollah was removed.,"A post in which a Lebanese activist was interviewed by a news anchor in Arabic. The activist was asked if a soccer player or Hassan Nasrallah (Secretary General of Hezbollah) is more useful, to which he replied by criticising Nasrallah and his actions.",Dangerous individuals / organisations,Sept,2023,9,removed an instagram post citing Meta's Dangerous Organisations and Individuals policy,overturned,"the content was a criticism or neutral report on the actions of a dangerous organisation or individual, rather than supporting Hassan Nasrallah, which does not violate Meta's policy. The Dangerous Organisations and Individuals policy allows ""[an] expression of a negative perspective about a designated entity or individual"", including ""disapproval, disgust, rejection, criticism, mockery etc."".",post was restored,Summary decision.,11,"A user appealed Meta's decision to remove an Instagram post of an interview where an activist discusses Hassan Nasrallah, the Secretary General of Hezbollah. This case highlights the over-enforcement of Meta's Dangerous Organisations and Individuals policy. This can have a negative impact on users' ability to share political commentary and news reporting, resulting in an infringement of users' freedom of expression. After the Board brought the appeal to Meta's attention, the company reversed its original decision and restored the post.

Case description and background

On January 2023, the verified account of a Lebanese activist posted a video of himself being interviewed by a news anchor in Arabic. The news anchor begins by jokingly asking the activist whether a professional football player, or Hassan Nasrallah, the Secretary General of Hezbollah, is more useful. The activist responds by praising the football player and criticising Nasrallah. The activist highlights the plane hijackings and kidnappings conducted by Hezbollah, along with Nasrallah's support of former Lebanese politicians Nabih Berri and Michel Aoun – both of whom the activist claims were unwanted by the Lebanese people. Throughout the interview, video clips of Nasrallah play on mute. The caption that the activist added continues this comparison, joking: ""Let's see how many goals Nasrallah can score first."" The post received 137,414 views and was reported to the Board 11 times.

Meta initially removed the post from Instagram under its Dangerous Organisations and Individuals policy. In his appeal to the Board, the user claimed that Hezbollah uses coordinated reporting to remove content that criticises the organisation. The Board has not independently verified the claim that coordinated reporting was responsible for the removal of this content, or for any of the reports relating to the content. The user claimed that ""Instagram's community guidelines are being used to extend Hezbollah's oppression against peaceful citizens like me"".

After the Board brought this case to Meta's attention, the company determined that its removal was incorrect and restored the content to Instagram. The company acknowledged that while Hassan Nasrallah is designated as a dangerous individual, Meta lets users criticise or neutrally report on the actions of a dangerous organisation or individual. Specifically, Meta allows ""[an] expression of a negative perspective about a designated entity or individual"", including ""disapproval, disgust, rejection, criticism, mockery etc."" Meta acknowledged that the video was posted with a satirical and condemning caption, making the content non-violating.",Dangerous Individuals and Organisations,100,https://oversightboard.com/decision/IG-24CW5DHI/,51,Sept 2023
Video discussing corruption of law enforcement in Indonesia,"""Dirty"" Indonesian police",https://oversightboard.com/decision/FB-IZP492PJ/,"A video discussing corruption in the Indonesian Police Force was removed as a ""threat"".","A video discussing corruption in the Indonesian police force, using metaphors to state that corrupt practices of subordinate law enforcement officers were protected by leaders of the force",Violence / Incitement / Graphic Content,Sept,2023,9,removed the post citing Meta's Violence and Incitement policy as the content was deemed to contain 'threats that could lead to death (and other forms of high-severity violence)... targeting people'.,overturned,"the content was ironic and was an analogy that corruption had started at the lower levels of the national police and risen the ranks to cause the whole system to be corrupt, rather than targeting or inciting violence towards any particular group",post was restored,Summary decision.,-,"A user appealed Meta's decision to remove a Facebook post that included a video discussing corruption among police officers in Indonesia. The case highlights an inconsistency in how Meta applies its Violence and Incitement policy to political metaphorical statements, which could be a significant deterrent to open online expression about governments. After the Board brought the appeal to Meta's attention, the company reversed its earlier decision and restored the post.

Case description and background

In April 2023, a Facebook user posted a video in which they gave a monologue in Bahasa Indonesia denouncing the corrupt practices of Indonesia's National Police. The user alleged that the Chief of the National Police had said, ""If I can't clean my tail, I'll cut off its head."" The user remarked that those dirty tails that could not be cleaned had actually become the heads, because the corrupt practices of subordinate law enforcement officers were guarded and maintained by the leaders of the police force. The user also named some specific individuals involved in their case who had since been promoted. Under the video, there was caption that read, ""How could a dirty broom clean a dirty floor?""

The Board understands the analogy by the Chief of the National Police to mean that he was taking a hard line towards corruption and implying that if he could not eradicate corruption among lower-level officers, he would take action against higher-level ones. The Board takes the user's remarks that ""dirty tails became heads"" as irony, suggesting that corrupt officers from the lower levels rose through the ranks to become corrupt officials. Together with the caption that referred to the ""dirty broom"", the Board considers that this was why the user believed corruption was endemic in Indonesia.

Meta originally removed the post from Facebook, citing its Violence and Incitement policy, under which the company removes content containing ""threats that could lead to death (and other forms of high-severity violence)… targeting people"".

After the Board brought this case to Meta's attention, the company determined that its removal was incorrect and restored the content to the platform. The company told the Board that, instead of targeting a particular person or group of people, the user was drawing attention to the pervasive nature of corruption and the relationship between police leaders and subordinates. The company therefore concluded that there was no target for violence, as is required to violate the Violence and Incitement policy.",Violence and Incitement,50,https://oversightboard.com/decision/FB-IZP492PJ/,50,Sept 2023
Responding to Antisemitism,Kanye West's anti-semiticism,https://oversightboard.com/decision/IG-5MC5OJIL/,"A video condemning anti-semitic, Holocause denying comments made by Kanye West was removed for ""hate speech"".","An instagram video showing the anti-semitic, pro-Hitler, Holocaust denying comments made by Kanye West followed by a TV reporter expressing their outrage over these comments, and recounting personal history relating to the Holocaust",Dangerous individuals / organisations,Sept,2023,9,"removed a post condemning Kanye West's remarks for violating its Dangerous Organisations and Individuals, and Hate Speech policies.",overturned,the video did not support HItler and did not violate the cited policies as the second half of the video clearly condemned Kanye West's statements,post was restored,Summary decision.,-,"A user appealed Meta's decision to remove an Instagram post of a video that condemned remarks by music artist Ye (the American rapper formerly known as Kanye West) praising Hitler and denying the Holocaust. After the Board brought the appeal to Meta's attention, the company reversed its original decision and restored the post.

Case description and background

In January 2023, an Instagram user from Turkey posted a video containing an excerpt of an interview in English where Ye states that he ""likes"" Adolph Hitler and that Hitler ""didn't kill six million Jews"". The video then cuts to a person who appears to be a TV reporter expressing outrage over Ye's statements and recounting how his family members were killed in the Holocaust. The video is subtitled in Turkish and has a caption that can be translated as ""TV reporter responds to Kanye West"".

Meta originally removed the post from Instagram, citing its Dangerous Organisations and Individuals (DOI) and Hate Speech policies. Under Meta's DOI policy, the company removes praise of designated individuals, including Adolf Hitler. However, the policy recognises that ""users may share content that includes references to designated dangerous organisations and individuals to report on, condemn or neutrally discuss them or their activities"". Under its Hate Speech policy, the company removes Holocaust denial as a form of harmful stereotype that is ""historically linked to intimidation, exclusion or violence on the basis of a protected characteristic"". The Hate Speech policy also recognises that ""people sometimes share content that includes slurs or someone else's hate speech to condemn it or raise awareness"".

In their appeal to the Board, the user argued that the video does not support Adolf Hitler and that they were misunderstood.

After the Board brought this case to Meta's attention, the company determined that the content did not violate its policies. Although the video contained praise for Adolf Hitler and Holocaust denial, the second part of the video clearly condemned these statements, placing it within an allowable context. Therefore, the company concluded that its initial removal was incorrect and restored the content to the platform.",Dangerous Individuals and Organisations,200,https://oversightboard.com/decision/IG-5MC5OJIL/,49,Sept 2023
United States Post Discussing Abortion,Anti-abortion death threats,https://oversightboard.com/decision/IG-FZSE6J9C/,"Three pieces of content containing rhetorical uses of violent language in response to the anti-abortion bill proposals was auto-tagged as ""harmful""",Three abortion related pieces of content containing rhetorical uses of violent language to speak against abortion bill propossals in South Carolina and abortion politics in the United States,Violence / Incitement / Graphic Content,Sept,2023,9,removed three posts discussing abortion and containing rhetorical violent language as a figure of speech after Meta's automated hostile speech classifier identified the content as potentially harmful,overturned,"each the posts include violent language but are expressed in a mock first-person voice to emphasise opposing opinions, and none of the posts express a threat or intent to commit violence",post was restored,,-,"About the cases

The three abortion-related pieces of content considered in this decision were posted by users in the United States in March 2023.

In the first case, a user posted an image of outstretched hands, overlaid with the text, “Pro-Abortion Logic” in a public Facebook group. The post continued, “We don’t want you to be poor, starved or unwanted. So we’ll just kill you instead.” The group describes itself as supporting the “sanctity of human life.”

In the other two cases, both users’ posts related to news articles covering a proposed bill in South Carolina that would apply state homicide laws to abortion, meaning the death penalty would be allowed for people getting abortions. In one of these posts, on Instagram, the image of the article headline was accompanied by a caption referring to the South Carolina lawmakers as being “so pro-life we’ll kill you dead if you get an abortion.” The other post, on Facebook, contained a caption asking for clarity on whether the lawmakers’ position is that “it’s wrong to kill so we are going to kill you.”

After Meta’s automated systems, specifically a hostile speech classifier, identified the content as potentially harmful, all three posts were sent for human review. Across the three cases, six out of seven human reviewers determined the posts violated Meta’s Violence and Incitement Community Standard because they contained death threats. The three users appealed the removals of their content. When the Board selected these cases, Meta determined its original decisions were wrong and restored the posts.
",Violence and Insightment,250,https://oversightboard.com/decision/IG-FZSE6J9C/,48,Sept 2023
Political Dispute Ahead of Turkish Election,Who's a Servant of the British?,https://oversightboard.com/decision/FB-T8JDDDJV/,"Videos of a politician confronting posted by Turkish media and referring to someone as a 'servant of the British' were removed under ""hate speech"" rules.",Posts from three Turkish media organisations showing a similar video of a politician confronting another in public using the term 'servant of the British',Hate Speech,August,2023,8,removed the posts of three Turkish media organisations for violating Meta's Hate Speech policy,overturned,"The term used ""İngiliz uşağı"" or ""servant of the British"" is not deemed hate speech by the Board",post was restored,,1,"About the cases

For these decisions, the Board considers three posts – two on Facebook, one on Instagram – from three different Turkish media organisations, all independently owned. They contain a similar video featuring a former Member of Parliament (MP) of the ruling party confronting a member of the main opposition party in the aftermath of the Turkish earthquakes in February 2023. In the run-up to the Turkish elections, the earthquakes were expected to significantly affect voting patterns.

The video shows Istanbul's Mayor Ekrem İmamoğlu, a key opposition figure, visiting one of the most heavily affected cities when he is confronted by a former MP, who shouts that he is ""showing off"", calls him a ""servant of the British"", and tells him to return to ""his own"" city. Both the public and expert commentators confirm that the phrase ""İngiliz uşağı"" is understood by Turkish speakers to mean ""a person who acts for the interests and benefits"" of Britain or the West in general.

Meta removed all three posts for violating its Hate Speech policy rule against slurs. Although several of Meta's mistake-prevention systems had been engaged, including cross-check, which led to the posts in each case undergoing several rounds of human review, this did not result in the content being restored.

In total, the posts were viewed across the three accounts more than 1,100,000 times before being removed.

While the three users were notified that they had violated the Hate Speech Community Standard, they were not told the specific rule they had broken. Additionally, feature limits to the accounts of two of the media organisations were applied, which prevented one from being able to create new content for 24 hours, and another losing its ability to live-stream video for three days.

After the Board identified the cases, Meta decided that its original decisions were wrong because the term ""İngiliz uşağı"" should not have been on its slur lists, and it restored the content. Separately, Meta had been conducting an annual audit of its slur lists for Turkey ahead of the elections, which led to the term ""İngiliz uşağı"" being removed in April 2023.",Hate Speech,50,https://oversightboard.com/decision/FB-T8JDDDJV/,47,August 2023
Promoting Ketamine for Non-FDA Approved Treatments,Ketamine for depression,https://oversightboard.com/decision/IG-TOM6IXVH/,A post discussing ketamine as a treatment for mood disorders was not removed.,An instagram post discussing the user's experience of using ketamine as a treatment for anxiety and depression.,Regulated Goods,August,2023,8,left the post up under Meta's Resticted Goods and Services Community Standard,overturned,"The post violates Meta's Branded Content policies which state that certain goods, services or brands may not be promoted with branded content, these goods include 'drugs and drug-related products, including illegal or recreational drugs'. As the post was a paid partnership, clearly promoted the use of Ketamine, and was not covered by an exception, it violates these policies and should therefore be taken down",post taken down,,3,"About the case

On 29 December 2022, a verified Instagram user posted ten related images as part of a single post with a caption. A well-known ketamine therapy provider is tagged as the co-author of the post, which was labelled as a ""paid partnership"". Under Meta's Branded Content policies, Meta's business partners must add such labels to their content to transparently disclose a commercial relationship with a third party.

In the caption, the user stated that they were given ketamine as treatment for anxiety and depression at two of the ketamine therapy provider's office locations in the United States. While the user described ketamine as medicine, the post contains no mention of a professional diagnosis, no clear evidence that treatment occurred at a licensed clinic and nothing showing that the treatment took place under medical supervision. The post describes the user's treatment as a ""magical entry into another dimension"". The post also expressed a belief that ""psychedelics"" (a category that the post implied includes ketamine) are an important emerging mental health medicine. Ten drawings, some including psychedelic imagery, depict the user's experience in a storyboard style, indicating that the user received several ""therapy sessions"" for ""treatment-resistant depression and anxiety"". The account of the user describing the experience has around 200,000 followers and the post was viewed around 85,000 times.

Three users reported one or more of the images included in the post, and the content was removed and then restored three times under Meta's Restricted Goods and Services Community Standard. After the third time the post was removed, the content creator brought it to Meta's attention. The content was then escalated to policy or subject matter experts for an additional review and restored around six months after it was originally posted. Meta then referred the case to the Board. The content creator's status as a ""managed partner"" helped to escalate the post within Meta. ""Managed partners"" are entities across different industries, including individuals such as celebrities and organisations such as businesses or charities. They receive varying levels of enhanced support, including access to a dedicated partner manager.

",Regulated Goods,250,https://oversightboard.com/decision/IG-TOM6IXVH/,46,August 2023
Images of Gender-Based Violence,Images of domestic violence,https://oversightboard.com/decision/FB-1RWWJUAT/,A graphic photo of a victim of domestic violence,"A photo of a woman with visible marks of a physical attack, including bruises, with a caption stating that her husband physically beat her due to a typographical error she had made in a letter addressed to him.",Bullying & Harassment,August,2023,8,left up content which mocked a target of gender-based violence,overturned,"The post violated Meta's bullying and harassment rules as the woman depicted was visible. However, this post would not have violated the rules if the caption had accompanied a picture of a fictional character, or if the target was not identifiable; this distinction highlighted to the Board that the policy had a gap which seemed to allow content that normalises gender-based violence.",post taken down,,1,"About the case

In May 2021, a Facebook user in Iraq posted a photo with a caption in Arabic. The photo shows a woman with visible marks of a physical attack, including bruises on her face and body. The caption begins by warning women about making a mistake when writing to their husbands. The caption states that the woman in the photo wrote a letter to her husband, which he misunderstood, according to the caption, due to the woman's typographical error. According to the post, the husband thought the woman asked him to bring her a ""donkey"", while in fact, she was asking him for a ""veil"". In Arabic, the words for ""donkey"" and ""veil"" look similar (""حمار"" and ""خمار""). The post implies that because of the misunderstanding caused by the typographical error in her letter, the husband physically beat her. The caption then states that the woman got what she deserved as a result of the mistake. There are several laughing and smiling emojis throughout the post.

The woman depicted in the photograph is an activist from Syria whose image has been shared on social media in the past. The caption does not name her, but her face is clearly visible. The post also includes a hashtag used in conversations in Syria supporting women.

In February 2023, a Facebook user reported the content three times for violating Meta's Violence and Incitement Community Standard. If content is not reviewed within 48 hours, the report is automatically closed, as it was in this case. The content remained on the platform for nearly two years and was not reviewed by a human moderator.

The user who reported the content appealed Meta's decision to the Oversight Board. As a result of the Board selecting this case, Meta determined that the content violates the Bullying and Harassment policy and removed the post.",Bullying and Harassment,75,https://oversightboard.com/decision/FB-1RWWJUAT/,45,August 2023
Violence Against Women,Talking about gender-based violence,https://oversightboard.com/decision/IG-H3138H6S/,Instagram posts discussing experiences of and condemning gender-based violence were removed.,Two instagram posts discussing experiences of violent intimate relationships and condemning gender-based violence,Hate Speech,July,2023,7,removed two instagram posts which condemned gender-based violence as it violated Meta's rules on hate speech,overturned,The post did not violate Meta's hate speech rules according to the Board. The Board was  concerned that Meta's approach to enforcing gender-based hate speech may result in disproportionate removal of content made to increase awareness of and condemning gender-based violence.,post was restored,,-,"About the cases

In this decision, the Board considers two posts from an Instagram user in Sweden together. Meta removed both posts for violating its Hate Speech Community Standard. After the Board identified the cases, Meta decided that the first post had been removed in error but maintained its decision on the second post.

The first post contains a video with an audio recording and its transcription, both in Swedish, of a woman describing her experience in a violent intimate relationship, including how she felt unable to discuss the situation with her family. The caption notes that the woman in the audio recording consented to its publication, and that the voice has been modified. It says that there is a culture of blaming victims of gender-based violence, and little understanding of how difficult it is for women to leave a violent partner. The caption says, “men murder, rape and abuse women mentally and physically – all the time, every day.” It also shares information about support organizations for victims of intimate partner violence, mentions the International Day for the Elimination of Violence against Women, and says it hopes women reading the post will realize they are not alone.

After one of Meta’s classifiers identified the content as potentially violating Meta’s rules on hate speech, two reviewers examined the post and removed it. This decision was then upheld by the same two reviewers on different levels of review. As a result of the Board selecting this case, Meta determined that it had removed the content in error, restoring the post.

As the Board began to assess the first post, it received another appeal from the same user. The second post, also shared on Instagram, contains a video of a woman speaking in Swedish and pointing at words written in Swedish on a notepad. In the video, the speaker says that although she is a man-hater, she does not hate all men. She also states that she is a man-hater for condemning misogyny and that hating men is rooted in fear of violence. Meta removed the content for violating its rules on hate speech. The user appealed the removal to Meta, but the company upheld its original decision after human review. After being informed that the Board had selected this case, Meta did not change its position.

Since at least 2017, digital campaigns have highlighted that Facebook’s hate speech policies result in the removal of phrases associated with calling attention to gender-based violence and harassment. For example, women and activists have coordinated posting phrases such as “men are trash” and “ men are scum” and protested their subsequent removal on the grounds of being anti-men hate speech.",Hate Speech,75,https://oversightboard.com/decision/IG-H3138H6S/,44,July 2023
